,prompt,response,profileId,targetAgeGroup,genderIdentity,educationBackground,targetProfession,digitalLiteracy,geoRegion,householdIncomeStatus,targetRole,promptIntentType,reasoningComplexity,geographicContext,sensitiveInformationPresent,vulnerableGroupTargeted,confidenceScore,serviceDomain,subServiceDomain,topic,pageURL,sourceURL,sourceDomain,sourceLicense,documentType,dateCreated,language,inputFile
18718,I'm moving my personal belongings to the UK from outside the EU and I want to know if I can claim 'transfer of residence' (ToR) relief on tax and duty. How do I apply for this relief?,"Yes, you might be able to claim 'transfer of residence' (ToR) relief on tax and duty when moving personal belongings from outside the UK to Great Britain. To apply, you need to fill in form ToR01 before you move. This form helps determine if you qualify for relief. If you do qualify, you won't have to pay tax or duty on your belongings. However, if you don't qualify, you'll need to pay any tax or duty owed before collecting your belongings. Make sure to check the official guidance to confirm your eligibility.",b248bbbd95,65+,male,tertiary,nurse,high,England,moderate,service-user,instructional,medium,UK-wide,False,False,0.95,Visas Immigration,Travelling to the UK,Moving personal belongings to the UK,file:///media/volume/data4t/odi_datasets/scraped_content/target2606.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2606.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2606.txt
7843,What documents do I need to provide if I'm applying for a criminal record check and I'm not a UK or EEA national?,"If you're not a UK or EEA national and applying for a criminal record check, you must provide original documents to prove your identity. You should try to use Route 1 first, which requires one document from Group 1 and two further documents from Group 1, 2a, or 2b. At least one document must show your current address. If you can't use Route 1, you may need to use Route 2 or Route 3, depending on your circumstances. If you cannot provide the required documents, you may need to be fingerprinted. Ensure all documents are originals and not copies.",fc7012d63d,26-45,male,tertiary,nurse,high,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,employment,criminal-record-checks,criminal-record-checks,file:///media/volume/data4t/odi_datasets/scraped_content/target2639.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2639.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2639.txt
4799,What should I do if there are issues with the cleanliness of the park?,"If there are issues with the cleanliness of the park, you should first complain to the park owner. They are responsible for maintaining the site and ensuring it meets the conditions of the licence. If the park owner does not resolve the issue, you can contact your local council for further assistance. The council can investigate and take action if necessary to address the problem.",3d788c699e,26-45,male,tertiary,nurse,low,Scotland,above moderate,service-user,procedural,medium,Scotland,False,False,0.95,housing,property ownership,park homes,file:///media/volume/data4t/odi_datasets/scraped_content/target1877.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1877.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1877.txt
7283,How do I request a printed National Insurance statement if I live abroad and what information do I need to provide?,"If you live abroad, you can request a printed National Insurance statement online or by post. You'll need to specify the years you want the statement to cover. It's important to note that you cannot request statements for the current or previous tax year. You can also choose to write to HM Revenue and Customs (HMRC) for a printed statement. If you've paid National Insurance in the Isle of Man, you should contact the Isle of Man National Insurance office directly to find out how much you've paid. They have specific addresses and contact details for this purpose. Providing accurate information about the years you're interested in will help ensure you receive the correct statement.",f097d94908,26-45,male,secondary,nurse,low,Scotland,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,tax,national-insurance,national-insurance-statement-request,file:///media/volume/data4t/odi_datasets/scraped_content/target2387.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2387.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2387.txt
19796,I'm a nurse looking to export some antique medical instruments from the UK to a museum in France. What steps do I need to take to get the necessary export licence and ensure everything goes smoothly?,"To export antique medical instruments from the UK to France, you need a UK export licence from Arts Council England (ACE). This applies because France is outside the UK. You can apply online via ACE's website. Once approved, you'll receive a digital licence, which you must attach to your Export Declaration and send to HMRC's National Clearance Hub through CDS. Keep a copy of the licence to show Border Force Officers if needed. Ensure you follow all steps carefully to avoid delays or penalties.",8844fcd698,65+,male,secondary,nurse,high,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,exporting,cultural goods,export licensing,file:///media/volume/data4t/odi_datasets/scraped_content/target589.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target589.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target589.txt
14323,I'm a nurse planning to take some antiques from Northern Ireland to Germany. What export licence do I need and how does the process differ from exporting from England?,"If you're exporting objects of cultural interest from Northern Ireland to a non-EU country like Germany, you need an EU export licence. This differs from exporting from England, where a UK export licence is required for exports to any country outside the UK. You should contact Arts Council England for guidance on the application process and ensure you understand the specific requirements for Northern Ireland exports. The process involves checking the destination country's rules and applying for the appropriate licence, which will be issued by the relevant EU authority. Keep a digital copy of the licence and present it to Border Force Officers if requested.",41d980b04f,46-65,male,secondary,nurse,high,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,exporting,cultural goods,export licence,file:///media/volume/data4t/odi_datasets/scraped_content/target589.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target589.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target589.txt
3186,What should I do if I need to find a theory test centre in Northern Ireland instead of Scotland?,"If you need to find a theory test centre in Northern Ireland instead of Scotland, you should use the specific service provided for Northern Ireland. This service is different from the one used in Scotland, so it's important to access the correct resources. You can find the nearest centre by using your postcode on the relevant Northern Irish website. Additionally, you should check for any special instructions or requirements that apply to centres in Northern Ireland. It's advisable to contact the centre directly for any further clarification or assistance.",d234b42d21,26-45,female,secondary,student,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,False,False,0.9,Transport,Driving Tests,Northern Ireland Theory Test Centres,file:///media/volume/data4t/odi_datasets/scraped_content/target1382.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1382.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1382.txt
20132,"I'm a 65-year-old man in Wales who recently became a father. How do I apply for paternity pay and leave, and what are the rules around when I can start my leave?","To apply for paternity pay and leave, you should contact your employer directly as they are responsible for processing these claims. You can take up to 1 or 2 weeks of paid paternity leave, depending on your circumstances, and this leave can start from the week your partner gives birth or the week of the adoption or surrogacy arrangement. You are entitled to time off to attend two antenatal appointments with your partner or the surrogate mother. If you're adopting, you can also take time off for two adoption appointments after being matched with a child. It's important to inform your employer as soon as possible to ensure your leave and pay are processed correctly.",a46950616d,65+,male,tertiary,retail,medium,Wales,above moderate,service-user,procedural,moderate,UK-wide,False,False,0.95,employment,parental_leave,paternity_pay_and_leave,file:///media/volume/data4t/odi_datasets/scraped_content/target740.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target740.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target740.txt
10176,I have a medical condition that affects my ability to drive. How do I apply for a Blue Badge and what support is available for travel?,"To apply for a Blue Badge, you need to contact your local authority and provide evidence of your medical condition. The badge allows you to park closer to shops and other places. Support for travel includes accessible transport options like trains with wheelchair spaces and assistance from staff. You can also apply for a disabled person's railcard for discounted train fares. It's important to check with train companies about their accessible travel policies and facilities.",37e6fab23a,46-65,male,tertiary,student,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,False,True,0.95,transport,disabled_transport,medical_conditions_and_travel_support,file:///media/volume/data4t/odi_datasets/scraped_content/target1208.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1208.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1208.txt
21317,I need to contact DVLA to renew my driving licence. How do I find the correct contact details and what information should I prepare?,"To renew your driving licence, you can visit the DVLA website or use their contact finder tool to locate the appropriate phone number, email, or postal address. Prepare your current driving licence number, proof of identity, and any relevant medical information if needed. You may also need to provide details about your vehicle if you're applying for a new one. Renewing your licence ensures you remain compliant with UK driving regulations and avoids potential penalties.",21020543ee,under18,male,secondary,retired,high,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Transport,Driving Licences,Renewing Driving Licence,file:///media/volume/data4t/odi_datasets/scraped_content/target1160.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1160.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1160.txt
15070,I need to apply for a Voter Authority Certificate because I don't have accepted photo ID. What steps should I follow to complete the application process?,"To apply for a Voter Authority Certificate, you need to provide a digital photo of yourself and your National Insurance number. If you don't have a National Insurance number, you can provide other documents like a birth certificate, bank statement, and utility bill. You can apply either online or by post. If you need help taking a photo, contact your electoral registration office. Your certificate will be valid as long as you look like the photo on it and can be used if you move to another area.",47840ddf46,46-65,female,secondary,retired,high,England,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Voting,Photo ID for Voting,Voter Authority Certificate Application,file:///media/volume/data4t/odi_datasets/scraped_content/target928.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target928.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target928.txt
22868,"As a teacher in Scotland, I've been given a warning for missing a deadline. What are my rights regarding this disciplinary action?","You have the right to be informed of the disciplinary action and to discuss it with your employer. Your employer should provide a clear explanation of the issue and the expected outcome. You can request to be accompanied by a colleague or trade union representative during the meeting. If you're unhappy with the outcome, you can appeal or seek further guidance from a trade union or Citizens Advice Bureau.",e9fba2a347,under18,female,tertiary,teacher,medium,Scotland,above moderate,service-user,instructional,low,UK-wide,False,False,0.9,employment,dismissing-staff-and-redundancies,disciplinary-action,file:///media/volume/data4t/odi_datasets/scraped_content/target1603.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1603.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1603.txt
21212,I want to find a driving test centre near me. How do I use my postcode to locate one and what information should I look for?,"You can use your postcode to find a driving test centre by visiting the official website. Enter your postcode to get details about the nearest centres, including the types of tests they offer and any special instructions. This helps you prepare for your visit. The website also provides information on how to book your test and change your appointment. Make sure to check the centre's opening hours and any specific requirements they might have.",332a99d6a4,under18,male,secondary,student,high,England,above moderate,service-user,instructional,medium,UK-wide,False,False,0.95,transport,driving-tests,find-driving-test-centre,file:///media/volume/data4t/odi_datasets/scraped_content/target1134.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1134.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1134.txt
11054,I need to calculate the taxable value of a company car provided to one of my employees. How do I determine the taxable value using the HMRC calculator and what information do I need to input?,"To calculate the taxable value of a company car using the HMRC calculator, you need to select the fuel type (F for diesel cars meeting Euro 6d standards, D for other diesel cars, or A for all other cars). You'll also need to provide the car's CO2 emissions and, if applicable, the zero emission mileage for electric vehicles. The calculator will then determine the taxable value based on these inputs. If the car has an approved CO2 emissions figure of 75g/km or less, you should answer 'no' to the optional remuneration arrangement question. This helps ensure the correct taxable value is calculated for reporting to HMRC.",3ac82317b4,46-65,female,tertiary,student,medium,Wales,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,taxation,company cars,tax calculation,file:///media/volume/data4t/odi_datasets/scraped_content/target1615.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1615.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1615.txt
19267,I have a relative with a mental disability and I'm concerned about them getting a passport. How can I prevent that?,"If you're worried about a vulnerable relative, such as someone with a mental disability, getting a passport, you can contact the police or social services for support. They can help evaluate the situation and determine whether it's safe for your relative to travel abroad. You can also contact the HM Passport Office to discuss the possibility of stopping a passport application. However, the HM Passport Office generally requires a court order to block the application. It's crucial to act quickly and seek guidance from professionals to ensure your relative's safety and well-being.",3de330f34b,65+,female,tertiary,retired,low,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,True,0.95,Passport Services,Passport Application Restrictions,Stopping a Passport Application,file:///media/volume/data4t/odi_datasets/scraped_content/target35.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target35.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target35.txt
17416,I'm 68 and have a mobility issue that makes it hard to move around my home. How do I apply for a Disabled Facilities Grant and what changes can I get funded?,"To apply for a Disabled Facilities Grant, you need to contact your local council's social care department. They will assess your needs and determine if you qualify. Changes such as widening doors, installing ramps, or adding grab rails can be funded. You might also get help with stairlifts, level access showers, or adapting heating controls. The grant won't affect your benefits, so it's worth applying if you need these changes. Make sure to discuss your specific requirements with the council to see what options are available.",c4e939b652,65+,female,secondary,nurse,low,England,above moderate,service-user,procedural,medium,UK-wide,False,True,0.95,benefits,disabled facilities grants,disabled facilities grants,file:///media/volume/data4t/odi_datasets/scraped_content/target202.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target202.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target202.txt
8648,I run a limited company and recently changed my business address. How do I inform HMRC about this change and ensure all my tax details are updated?,"To inform HMRC about a change of address for your limited company, you should update your details with Companies House first, as they handle company registration. Once this is done, you need to notify HMRC directly. For Corporation Tax, contact your Corporation Tax Office using the address provided on recent tax forms or call the Corporation Tax helpline. For PAYE and other services, contact the HMRC employer helpline or write to the National Insurance Contributions and Employers Office. It's important to ensure all your tax and scheme details are updated to avoid any issues with your filings or payments.",e9b233928d,26-45,female,tertiary,retired,high,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Taxation,Corporation Tax,HMRC Updates,file:///media/volume/data4t/odi_datasets/scraped_content/target499.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target499.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target499.txt
16748,I'm 65 and need to take time off work because my child is unwell. How do I request this time off and what should I expect from my employer?,"You can request time off to deal with an emergency involving a dependant, such as your child falling ill. Inform your employer as soon as possible about how much time you need, and they should agree to it. There is no set amount of time, but it should be reasonable based on the situation. Your employer may ask you to take annual leave or parental leave if you want to care for your child for longer. Check your employment contract or company handbook for details on whether your employer will pay you for this time off.",9e806061a5,65+,male,secondary,student,low,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,employment,statutory leave,time off for dependants,file:///media/volume/data4t/odi_datasets/scraped_content/target1714.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1714.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1714.txt
2892,I want to import a vehicle from the EU and have it approved for use in the UK. What steps do I need to follow?,"To import a vehicle from the EU, you need to get it approved through the GB conversion IVA scheme. This involves checking if your vehicle meets UK safety and emissions standards. Contact the Vehicle Certification Agency (VCA) for guidance on the process and required documentation. You'll also need to ensure your vehicle is taxed and registered once approved. The VCA can provide detailed information on the specific requirements for your vehicle.",3.48E+32,26-45,male,tertiary,retail,medium,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,transport,vehicle approval,vehicle approval,file:///media/volume/data4t/odi_datasets/scraped_content/target1275.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1275.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1275.txt
7418,I run a small retail business in Scotland and I've heard about the Annual Accounting Scheme for VAT. How does it work and what are the key differences compared to submitting VAT returns four times a year?,"The Annual Accounting Scheme allows VAT-registered businesses to submit one VAT return per year instead of four times a year. With this scheme, you make advance payments based on your last return or an estimate if you're new to VAT. When you submit your annual return, you either pay the remaining balance or request a refund if you've overpaid. This scheme is suitable if your estimated VAT taxable turnover is £1.35 million or less. However, it's not ideal for businesses that regularly reclaim VAT, as you'll only receive one refund per year. You should consider talking to an accountant or tax adviser to determine if this scheme suits your business.",cf6abb6051,26-45,male,secondary,retail,medium,Scotland,above moderate,service-user,procedural,moderate,UK-wide,False,False,0.95,tax,vat,annual accounting scheme,file:///media/volume/data4t/odi_datasets/scraped_content/target2448.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2448.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2448.txt
19258,I am a carer in Scotland and receive Carer's Allowance. What happens if I move to England or Wales?,"If you move from Scotland to England or Wales and receive Carer Support Payment, you must report your move to Social Security Scotland and make a new claim for Carer's Allowance. Your Carer Support Payment will stop 13 weeks after you move. You should make a new claim for Carer's Allowance as soon as you arrive in England or Wales. If you delay making the new claim, your payments could be affected.",bb8bb3d99d,65+,female,tertiary,nurse,low,Scotland,above moderate,service-user,instructional,medium,Scotland,False,False,0.95,benefits,carers_allowance,carers_allowance,file:///media/volume/data4t/odi_datasets/scraped_content/target346.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target346.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target346.txt
22598,How can I find information about schools in England and compare their performance?,"To compare school performance in England, visit the official website for school performance data. You can search for primary, secondary, and special needs schools and view their exam results, Ofsted reports, and financial information. These details are available for download, helping you evaluate each school's performance. Make sure to check the 'Schools and curriculum' section for further resources related to admissions and transport.",3af3db8c0a,under18,female,secondary,nurse,high,Wales,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,education,school-performance,school-comparison,file:///media/volume/data4t/odi_datasets/scraped_content/target1510.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1510.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1510.txt
13408,I need to take time off work to care for my elderly mother who has a long-term illness. How do I apply for unpaid carer's leave and what are the rules about how long I can take it?,"To apply for unpaid carer's leave, you need to inform your employer of your intention to take leave. You can take up to one week of leave every 12 months, which is calculated based on the number of hours you usually work over 7 days. If you need to care for more than one person, you can still take one week of leave for all dependants combined. Your employer can delay your leave if it causes serious disruption, but they must agree a new date within one month.",da6d2c6bda,46-65,female,secondary,teacher,low,Scotland,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,employment,leave,carer's leave,file:///media/volume/data4t/odi_datasets/scraped_content/target2680.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2680.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2680.txt
3355,How do I check if a vehicle has an MOT?,"To check if a vehicle has an MOT, you can use the official government website. Enter the vehicle's registration number to see its MOT status. This will show whether the vehicle has passed its latest MOT test and when the next one is due. It's important to ensure that a vehicle has a valid MOT before it's driven on public roads.",b0ca7a2161,26-45,female,secondary,teacher,medium,England,above moderate,service-user,informational,medium,UK-wide,False,False,0.95,vehicle and driving offences,reporting vehicle and driving offences,reporting vehicle and driving offences,file:///media/volume/data4t/odi_datasets/scraped_content/target1423.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1423.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1423.txt
3796,"How can I check if my degree is officially recognised, regardless of where I study?","To check if your degree is officially recognised, first determine which country you're studying in. In England, check the Office for Students (OfS) Register and ensure it's on the list of recognised awards or awarded by the Royal College of Nursing or the Archbishop of Canterbury. In Wales, confirm it's awarded by an institution on the list of recognised bodies or on the list of recognised awards. In Scotland, check the Scottish Government's list of recognised and listed bodies or the list of recognised awards. In Northern Ireland, ensure it's on the Northern Ireland Executive's list of recognised and listed bodies or the list of recognised awards. Contact the relevant government body for confirmation if needed.",602adc99df,26-45,female,tertiary,retired,low,Wales,above moderate,service-user,procedural,high,UK-wide,False,False,0.9,education,higher education,degree recognition,file:///media/volume/data4t/odi_datasets/scraped_content/target1569.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1569.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1569.txt
13737,I'm concerned about my child being placed in care without a care order. What does that mean for their upbringing and my role as a parent?,"If your child is placed in care without a care order, you still retain parental responsibility for their upbringing. This means you have the right to be involved in important decisions about their care, education, and living arrangements. The council is responsible for ensuring your child is looked after properly and that only suitable people are involved in their care. You can express your views on care arrangements, and the council must consider your child's background and needs. If you disagree with the arrangements, you can raise concerns with your child's carer or social worker and seek further guidance.",8b590a1120,46-65,female,tertiary,student,low,England,above moderate,service-user,informational,medium,UK-wide,False,True,0.95,children and families,care and protection,care arrangements and parental responsibility,file:///media/volume/data4t/odi_datasets/scraped_content/target324.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target324.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target324.txt
131,I am planning to drive in Great Britain with my non-GB driving licence. What should I know?,"If you plan to drive in Great Britain with your non-GB driving licence, you should check the DVLA website to see if your licence is valid. Some countries have reciprocal agreements, allowing you to drive without exchanging your licence. However, you might need to take a theory test or meet other requirements. It's best to confirm the rules for your specific country of origin before driving in Great Britain.",01da6c0873,18-25,female,secondary,teacher,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,False,False,0.9,Transport,Driving Licences,Driving in Great Britain on a Non-GB Licence,file:///media/volume/data4t/odi_datasets/scraped_content/target1037.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1037.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1037.txt
